Career,Questions,OptionA,OptionB,OptionC,OptionD,Correct Ans
Aviation,What is CATOBAR in the context of aircraft launch in the Navy?,Catapult based aircraft launch mechanism,Electric based aircraft launch mechanism,Electromagnetic based aircraft launch mechanism,Catalyst based aircraft launch mechanism,A
Aviation,Landing gears are also known as,Stabilizers,Empennage,Undercarriage,Aileron,C
Aviation,Stabilizing tail is also known as,Rudder,Empennage,Aileron,Wingtip,C
Aviation,An aircraft engine generates,Electrical power,Mechanical power,Thermal power,Hydraulic power,B
Aviation,Which is the largest jet engine in the world?,GE90,Trent 800,PW4000,GE9X,D
Aviation,Flight Data Recorder is also known as,Orange Box,Black Box,Red Box,Green Box,B
Civil Engineering,Wrought iron contains carbon upto,0.25%,1%,1.50%,2%,A
Civil Engineering,Dado is usually provided in,dining halls,bath rooms,living rooms,verandah,B
Civil Engineering,Hydrographic surveys deal with the mapping of,large water bodies,heavenly bodies,mountaineous region,canal system,A
Civil Engineering,A pitot tube is used to measure,pressure,difference in pressure,velocity of flow,none of these,C
Civil Engineering,Sand stone is,sedimentary rock,metamorphic rock,igneous rock,volcanic rock,A
Civil Engineering,The expected out turn of 2.5 cm cement concrete floor per manson per day,2.5 sqm,5.0 sqm,7.5 sqm,10 sqm,C
History,The Battle of Plassey was fought in,1757,1782,1748,1764,A
History,To which professions earlier leaders who struggled for freedom of India mainly belonged?,Lawyers,Teachers,Journalists,All of the above,D
History,The language of discourses of Gautama Buddha was,Bhojpuri,Magadhi,Pali,Sanskrit,C
History,The term yavanika meant,foreign goods,dancer,curtain,theatre,C
History,The weekly Commonweal was founded by,Annie Besant,Bipan Chandra Pal,Bal Gangadhar Tilak,Sarojini Naidu,A
History,The Kalinga was fought in,321 BC,301 BC,261 BC,241 BC,C
Electrical,An electric heater draws 3.5 A from a 110 V source. The resistance of the heating element is approximately,385,38.5,3.1,31,D
Electrical,"When the pointer of an analog ohmmeter reads close to zero, the resistor being measured is",overheated,shorted,opened,reversed,B
Electrical,"When a fourth resistor is connected in series with three resistors, the total resistance",increases by one-fourth,increases,decreases,remains the some,C
Electrical,Which of the following capacitors is polarized?,mica,ceramic,plastic-film,electrolytic,D
Electrical,"A sine wave voltage is applied across an inductor. When the frequency of the voltage is decreased, the current",is increased,is decreased,does not change,momentarily goes to zero,A
Electrical,The primary winding of a power transformer should always be,opened,shorted,switched,fused,D
